#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
    42     4.722191108e+29     3.659315010e+08     1.000000000e+09     3.154597947e+04     1.536912304e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    43     4.835944489e+29     3.661458581e+08     1.000000000e+09     3.149060687e+04     1.537812604e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    44     4.949631293e+29     3.663602153e+08     1.000000000e+09     3.143536380e+04     1.538712904e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    45     5.063251598e+29     3.665745725e+08     1.000000000e+09     3.138024986e+04     1.539613204e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    46     5.176805482e+29     3.667889296e+08     1.000000000e+09     3.132526469e+04     1.540513505e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    47     5.290293024e+29     3.670032868e+08     1.000000000e+09     3.127040790e+04     1.541413805e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    48     5.403714299e+29     3.672176440e+08     1.000000000e+09     3.121567912e+04     1.542314105e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    49     5.517069386e+29     3.674320011e+08     1.000000000e+09     3.116107799e+04     1.543214405e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    50     5.630358362e+29     3.676463583e+08     1.000000000e+09     3.110660412e+04     1.544114705e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    51     5.743581303e+29     3.678607155e+08     1.000000000e+09     3.105225714e+04     1.545015005e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    52     5.856738287e+29     3.680750726e+08     1.000000000e+09     3.099803670e+04     1.545915305e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    53     5.969829391e+29     3.682894298e+08     1.000000000e+09     3.094394241e+04     1.546815605e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    54     6.082854691e+29     3.685037870e+08     1.000000000e+09     3.088997392e+04     1.547715905e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    55     6.195814264e+29     3.687181441e+08     1.000000000e+09     3.083613085e+04     1.548616205e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    56     6.308708186e+29     3.689325013e+08     1.000000000e+09     3.078241285e+04     1.549516506e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    57     6.421536533e+29     3.691468585e+08     1.000000000e+09     3.072881954e+04     1.550416806e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    58     6.534299382e+29     3.693612156e+08     1.000000000e+09     3.067535058e+04     1.551317106e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    59     6.646996809e+29     3.695755728e+08     1.000000000e+09     3.062200559e+04     1.552217406e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    60     6.759628888e+29     3.697899300e+08     1.000000000e+09     3.056878422e+04     1.553117706e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    61     6.872195697e+29     3.700042871e+08     1.000000000e+09     3.051568611e+04     1.554018006e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    62     6.984697311e+29     3.702186443e+08     1.000000000e+09     3.046271091e+04     1.554918306e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    63     7.097133805e+29     3.704330015e+08     1.000000000e+09     3.040985825e+04     1.555818606e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    64     7.209505255e+29     3.706473586e+08     1.000000000e+09     3.035712779e+04     1.556718906e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    65     7.321811735e+29     3.708617158e+08     1.000000000e+09     3.030451917e+04     1.557619206e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    66     7.434053322e+29     3.710760730e+08     1.000000000e+09     3.025203205e+04     1.558519507e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    67     7.546230089e+29     3.712904301e+08     1.000000000e+09     3.019966606e+04     1.559419807e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    68     7.658342112e+29     3.715047873e+08     1.000000000e+09     3.014742086e+04     1.560320107e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    69     7.770389465e+29     3.717191445e+08     1.000000000e+09     3.009529611e+04     1.561220407e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    70     7.882372223e+29     3.719335016e+08     1.000000000e+09     3.004329145e+04     1.562120707e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    71     7.994290460e+29     3.721478588e+08     1.000000000e+09     2.999140653e+04     1.563021007e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    72     8.106144251e+29     3.723622160e+08     1.000000000e+09     2.993964103e+04     1.563921307e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    73     8.217933670e+29     3.725765731e+08     1.000000000e+09     2.988799459e+04     1.564821607e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    74     8.329658791e+29     3.727909303e+08     1.000000000e+09     2.983646686e+04     1.565721907e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    75     8.441319687e+29     3.730052875e+08     1.000000000e+09     2.978505752e+04     1.566622207e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    76     8.552916433e+29     3.732196446e+08     1.000000000e+09     2.973376621e+04     1.567522508e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    77     8.664449103e+29     3.734340018e+08     1.000000000e+09     2.968259261e+04     1.568422808e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    78     8.775917769e+29     3.736483590e+08     1.000000000e+09     2.963153637e+04     1.569323108e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    79     8.887322506e+29     3.738627161e+08     1.000000000e+09     2.958059715e+04     1.570223408e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    80     8.998663385e+29     3.740770733e+08     1.000000000e+09     2.952977463e+04     1.571123708e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    81     9.109940482e+29     3.742914305e+08     1.000000000e+09     2.947906846e+04     1.572024008e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    82     9.221153868e+29     3.745057876e+08     1.000000000e+09     2.942847832e+04     1.572924308e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    83     9.332303617e+29     3.747201448e+08     1.000000000e+09     2.937800388e+04     1.573824608e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    84     9.443389802e+29     3.749345020e+08     1.000000000e+09     2.932764479e+04     1.574724908e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    85     9.554412494e+29     3.751488591e+08     1.000000000e+09     2.927740074e+04     1.575625208e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    86     9.665371767e+29     3.753632163e+08     1.000000000e+09     2.922727140e+04     1.576525509e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    87     9.776267693e+29     3.755775735e+08     1.000000000e+09     2.917725643e+04     1.577425809e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    88     9.887100345e+29     3.757919306e+08     1.000000000e+09     2.912735551e+04     1.578326109e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    89     9.997869793e+29     3.760062878e+08     1.000000000e+09     2.907756833e+04     1.579226409e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    90     1.010857611e+30     3.762206450e+08     1.000000000e+09     2.902789454e+04     1.580126709e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    91     1.021921937e+30     3.764350021e+08     1.000000000e+09     2.897833384e+04     1.581027009e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    92     1.032979964e+30     3.766493593e+08     1.000000000e+09     2.892888589e+04     1.581927309e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    93     1.044031700e+30     3.768637165e+08     1.000000000e+09     2.887955038e+04     1.582827609e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    94     1.055077152e+30     3.770780736e+08     1.000000000e+09     2.883032699e+04     1.583727909e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    95     1.066116326e+30     3.772924308e+08     1.000000000e+09     2.878121541e+04     1.584628209e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    96     1.077149230e+30     3.775067880e+08     1.000000000e+09     2.873221530e+04     1.585528510e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    97     1.088175871e+30     3.777211451e+08     1.000000000e+09     2.868332637e+04     1.586428810e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    98     1.099196257e+30     3.779355023e+08     1.000000000e+09     2.863454828e+04     1.587329110e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    99     1.110210393e+30     3.781498595e+08     1.000000000e+09     2.858588074e+04     1.588229410e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   100     1.121218288e+30     3.783642166e+08     1.000000000e+09     2.853732342e+04     1.589129710e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   101     1.132219948e+30     3.785785738e+08     1.000000000e+09     2.848887601e+04     1.590030010e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   102     1.143215381e+30     3.787929310e+08     1.000000000e+09     2.844053820e+04     1.590930310e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   103     1.154204593e+30     3.790072881e+08     1.000000000e+09     2.839230969e+04     1.591830610e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   104     1.165187592e+30     3.792216453e+08     1.000000000e+09     2.834419016e+04     1.592730910e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   105     1.176164384e+30     3.794360025e+08     1.000000000e+09     2.829617931e+04     1.593631210e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   106     1.187134977e+30     3.796503596e+08     1.000000000e+09     2.824827683e+04     1.594531511e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   107     1.198099378e+30     3.798647168e+08     1.000000000e+09     2.820048241e+04     1.595431811e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   108     1.209057592e+30     3.800790740e+08     1.000000000e+09     2.815279575e+04     1.596332111e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   109     1.220009629e+30     3.802934311e+08     1.000000000e+09     2.810521655e+04     1.597232411e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   110     1.230955494e+30     3.805077883e+08     1.000000000e+09     2.805774451e+04     1.598132711e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   111     1.241895194e+30     3.807221455e+08     1.000000000e+09     2.801037931e+04     1.599033011e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   112     1.252828737e+30     3.809365026e+08     1.000000000e+09     2.796312067e+04     1.599933311e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   113     1.263756129e+30     3.811508598e+08     1.000000000e+09     2.791596827e+04     1.600833611e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   114     1.274677378e+30     3.813652170e+08     1.000000000e+09     2.786892184e+04     1.601733911e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   115     1.285592489e+30     3.815795741e+08     1.000000000e+09     2.782198105e+04     1.602634211e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   116     1.296501470e+30     3.817939313e+08     1.000000000e+09     2.777514563e+04     1.603534512e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   117     1.307404329e+30     3.820082885e+08     1.000000000e+09     2.772841527e+04     1.604434812e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   118     1.318301071e+30     3.822226456e+08     1.000000000e+09     2.768178969e+04     1.605335112e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   119     1.329191704e+30     3.824370028e+08     1.000000000e+09     2.763526858e+04     1.606235412e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   120     1.340076234e+30     3.826513600e+08     1.000000000e+09     2.758885165e+04     1.607135712e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   121     1.350954669e+30     3.828657171e+08     1.000000000e+09     2.754253862e+04     1.608036012e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   122     1.361827014e+30     3.830800743e+08     1.000000000e+09     2.749632918e+04     1.608936312e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   123     1.372693278e+30     3.832944315e+08     1.000000000e+09     2.745022306e+04     1.609836612e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   124     1.383553466e+30     3.835087886e+08     1.000000000e+09     2.740421997e+04     1.610736912e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   125     1.394407586e+30     3.837231458e+08     1.000000000e+09     2.735831961e+04     1.611637212e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   126     1.405255644e+30     3.839375030e+08     1.000000000e+09     2.731252170e+04     1.612537513e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   127     1.416097648e+30     3.841518601e+08     1.000000000e+09     2.726682596e+04     1.613437813e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   128     1.426933603e+30     3.843662173e+08     1.000000000e+09     2.722123209e+04     1.614338113e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   129     1.437763517e+30     3.845805745e+08     1.000000000e+09     2.717573982e+04     1.615238413e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   130     1.448587396e+30     3.847949316e+08     1.000000000e+09     2.713034886e+04     1.616138713e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   131     1.459405247e+30     3.850092888e+08     1.000000000e+09     2.708505894e+04     1.617039013e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   132     1.470217077e+30     3.852236460e+08     1.000000000e+09     2.703986976e+04     1.617939313e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
