#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
    42     2.308075462e+30     3.424474825e+08     1.000000000e+09     1.695475832e+05     1.541013671e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    43     2.363599466e+30     3.426697788e+08     1.000000000e+09     1.692178311e+05     1.542014005e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    44     2.419087462e+30     3.428920751e+08     1.000000000e+09     1.688889335e+05     1.543014338e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    45     2.474539498e+30     3.431143715e+08     1.000000000e+09     1.685608878e+05     1.544014672e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    46     2.529955618e+30     3.433366678e+08     1.000000000e+09     1.682336911e+05     1.545015005e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    47     2.585335871e+30     3.435589641e+08     1.000000000e+09     1.679073407e+05     1.546015338e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    48     2.640680302e+30     3.437812604e+08     1.000000000e+09     1.675818338e+05     1.547015672e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    49     2.695988957e+30     3.440035567e+08     1.000000000e+09     1.672571677e+05     1.548016005e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    50     2.751261884e+30     3.442258531e+08     1.000000000e+09     1.669333398e+05     1.549016339e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    51     2.806499128e+30     3.444481494e+08     1.000000000e+09     1.666103473e+05     1.550016672e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    52     2.861700734e+30     3.446704457e+08     1.000000000e+09     1.662881875e+05     1.551017006e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    53     2.916866750e+30     3.448927420e+08     1.000000000e+09     1.659668578e+05     1.552017339e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    54     2.971997220e+30     3.451150383e+08     1.000000000e+09     1.656463554e+05     1.553017673e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    55     3.027092192e+30     3.453373347e+08     1.000000000e+09     1.653266778e+05     1.554018006e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    56     3.082151709e+30     3.455596310e+08     1.000000000e+09     1.650078222e+05     1.555018339e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    57     3.137175819e+30     3.457819273e+08     1.000000000e+09     1.646897860e+05     1.556018673e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    58     3.192164565e+30     3.460042236e+08     1.000000000e+09     1.643725666e+05     1.557019006e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    59     3.247117995e+30     3.462265200e+08     1.000000000e+09     1.640561613e+05     1.558019340e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    60     3.302036153e+30     3.464488163e+08     1.000000000e+09     1.637405676e+05     1.559019673e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    61     3.356919085e+30     3.466711126e+08     1.000000000e+09     1.634257829e+05     1.560020007e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    62     3.411766835e+30     3.468934089e+08     1.000000000e+09     1.631118045e+05     1.561020340e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    63     3.466579449e+30     3.471157052e+08     1.000000000e+09     1.627986300e+05     1.562020674e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    64     3.521356971e+30     3.473380016e+08     1.000000000e+09     1.624862566e+05     1.563021007e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    65     3.576099448e+30     3.475602979e+08     1.000000000e+09     1.621746819e+05     1.564021340e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    66     3.630806922e+30     3.477825942e+08     1.000000000e+09     1.618639033e+05     1.565021674e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    67     3.685479440e+30     3.480048905e+08     1.000000000e+09     1.615539182e+05     1.566022007e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    68     3.740117045e+30     3.482271868e+08     1.000000000e+09     1.612447242e+05     1.567022341e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    69     3.794719783e+30     3.484494832e+08     1.000000000e+09     1.609363187e+05     1.568022674e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    70     3.849287698e+30     3.486717795e+08     1.000000000e+09     1.606286992e+05     1.569023008e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    71     3.903820834e+30     3.488940758e+08     1.000000000e+09     1.603218632e+05     1.570023341e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    72     3.958319235e+30     3.491163721e+08     1.000000000e+09     1.600158082e+05     1.571023675e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    73     4.012782946e+30     3.493386684e+08     1.000000000e+09     1.597105317e+05     1.572024008e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    74     4.067212011e+30     3.495609648e+08     1.000000000e+09     1.594060312e+05     1.573024341e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    75     4.121606474e+30     3.497832611e+08     1.000000000e+09     1.591023043e+05     1.574024675e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    76     4.175966379e+30     3.500055574e+08     1.000000000e+09     1.587993486e+05     1.575025008e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    77     4.230291770e+30     3.502278537e+08     1.000000000e+09     1.584971615e+05     1.576025342e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    78     4.284582690e+30     3.504501501e+08     1.000000000e+09     1.581957407e+05     1.577025675e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    79     4.338839183e+30     3.506724464e+08     1.000000000e+09     1.578950837e+05     1.578026009e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    80     4.393061294e+30     3.508947427e+08     1.000000000e+09     1.575951880e+05     1.579026342e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    81     4.447249064e+30     3.511170390e+08     1.000000000e+09     1.572960514e+05     1.580026676e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    82     4.501402539e+30     3.513393353e+08     1.000000000e+09     1.569976714e+05     1.581027009e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    83     4.555521761e+30     3.515616317e+08     1.000000000e+09     1.567000455e+05     1.582027342e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    84     4.609606774e+30     3.517839280e+08     1.000000000e+09     1.564031715e+05     1.583027676e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    85     4.663657621e+30     3.520062243e+08     1.000000000e+09     1.561070469e+05     1.584028009e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    86     4.717674344e+30     3.522285206e+08     1.000000000e+09     1.558116695e+05     1.585028343e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    87     4.771656988e+30     3.524508169e+08     1.000000000e+09     1.555170367e+05     1.586028676e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    88     4.825605595e+30     3.526731133e+08     1.000000000e+09     1.552231463e+05     1.587029010e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    89     4.879520207e+30     3.528954096e+08     1.000000000e+09     1.549299960e+05     1.588029343e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    90     4.933400868e+30     3.531177059e+08     1.000000000e+09     1.546375833e+05     1.589029677e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    91     4.987247621e+30     3.533400022e+08     1.000000000e+09     1.543459061e+05     1.590030010e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    92     5.041060508e+30     3.535622985e+08     1.000000000e+09     1.540549620e+05     1.591030343e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    93     5.094839572e+30     3.537845949e+08     1.000000000e+09     1.537647486e+05     1.592030677e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    94     5.148584854e+30     3.540068912e+08     1.000000000e+09     1.534752638e+05     1.593031010e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    95     5.202296399e+30     3.542291875e+08     1.000000000e+09     1.531865051e+05     1.594031344e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    96     5.255974247e+30     3.544514838e+08     1.000000000e+09     1.528984704e+05     1.595031677e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    97     5.309618441e+30     3.546737801e+08     1.000000000e+09     1.526111573e+05     1.596032011e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    98     5.363229024e+30     3.548960765e+08     1.000000000e+09     1.523245637e+05     1.597032344e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    99     5.416806037e+30     3.551183728e+08     1.000000000e+09     1.520386872e+05     1.598032678e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   100     5.470349523e+30     3.553406691e+08     1.000000000e+09     1.517535256e+05     1.599033011e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   101     5.523859523e+30     3.555629654e+08     1.000000000e+09     1.514690767e+05     1.600033344e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   102     5.577336079e+30     3.557852618e+08     1.000000000e+09     1.511853383e+05     1.601033678e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   103     5.630779234e+30     3.560075581e+08     1.000000000e+09     1.509023081e+05     1.602034011e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   104     5.684189028e+30     3.562298544e+08     1.000000000e+09     1.506199839e+05     1.603034345e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   105     5.737565503e+30     3.564521507e+08     1.000000000e+09     1.503383636e+05     1.604034678e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   106     5.790908701e+30     3.566744470e+08     1.000000000e+09     1.500574449e+05     1.605035012e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   107     5.844218664e+30     3.568967434e+08     1.000000000e+09     1.497772256e+05     1.606035345e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   108     5.897495432e+30     3.571190397e+08     1.000000000e+09     1.494977037e+05     1.607035679e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   109     5.950739048e+30     3.573413360e+08     1.000000000e+09     1.492188768e+05     1.608036012e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   110     6.003949552e+30     3.575636323e+08     1.000000000e+09     1.489407429e+05     1.609036345e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   111     6.057126985e+30     3.577859286e+08     1.000000000e+09     1.486632998e+05     1.610036679e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   112     6.110271389e+30     3.580082250e+08     1.000000000e+09     1.483865454e+05     1.611037012e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   113     6.163382804e+30     3.582305213e+08     1.000000000e+09     1.481104774e+05     1.612037346e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   114     6.216461272e+30     3.584528176e+08     1.000000000e+09     1.478350939e+05     1.613037679e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   115     6.269506833e+30     3.586751139e+08     1.000000000e+09     1.475603927e+05     1.614038013e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   116     6.322519528e+30     3.588974102e+08     1.000000000e+09     1.472863716e+05     1.615038346e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   117     6.375499398e+30     3.591197066e+08     1.000000000e+09     1.470130286e+05     1.616038680e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   118     6.428446483e+30     3.593420029e+08     1.000000000e+09     1.467403615e+05     1.617039013e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   119     6.481360825e+30     3.595642992e+08     1.000000000e+09     1.464683683e+05     1.618039346e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   120     6.534242463e+30     3.597865955e+08     1.000000000e+09     1.461970469e+05     1.619039680e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   121     6.587091437e+30     3.600088919e+08     1.000000000e+09     1.459263952e+05     1.620040013e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   122     6.639907789e+30     3.602311882e+08     1.000000000e+09     1.456564112e+05     1.621040347e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   123     6.692691559e+30     3.604534845e+08     1.000000000e+09     1.453870928e+05     1.622040680e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   124     6.745442785e+30     3.606757808e+08     1.000000000e+09     1.451184380e+05     1.623041014e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   125     6.798161510e+30     3.608980771e+08     1.000000000e+09     1.448504446e+05     1.624041347e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   126     6.850847772e+30     3.611203735e+08     1.000000000e+09     1.445831107e+05     1.625041681e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   127     6.903501612e+30     3.613426698e+08     1.000000000e+09     1.443164343e+05     1.626042014e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   128     6.956123070e+30     3.615649661e+08     1.000000000e+09     1.440504133e+05     1.627042347e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   129     7.008712185e+30     3.617872624e+08     1.000000000e+09     1.437850457e+05     1.628042681e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   130     7.061268997e+30     3.620095587e+08     1.000000000e+09     1.435203295e+05     1.629043014e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   131     7.113793546e+30     3.622318551e+08     1.000000000e+09     1.432562627e+05     1.630043348e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   132     7.166285871e+30     3.624541514e+08     1.000000000e+09     1.429928434e+05     1.631043681e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   133     7.218746012e+30     3.626764477e+08     1.000000000e+09     1.427300694e+05     1.632044015e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   134     7.271174008e+30     3.628987440e+08     1.000000000e+09     1.424679390e+05     1.633044348e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   135     7.323569899e+30     3.631210403e+08     1.000000000e+09     1.422064500e+05     1.634044682e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   136     7.375933724e+30     3.633433367e+08     1.000000000e+09     1.419456006e+05     1.635045015e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   137     7.428265522e+30     3.635656330e+08     1.000000000e+09     1.416853887e+05     1.636045348e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   138     7.480565333e+30     3.637879293e+08     1.000000000e+09     1.414258125e+05     1.637045682e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   139     7.532833195e+30     3.640102256e+08     1.000000000e+09     1.411668700e+05     1.638046015e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   140     7.585069147e+30     3.642325220e+08     1.000000000e+09     1.409085592e+05     1.639046349e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   141     7.637273229e+30     3.644548183e+08     1.000000000e+09     1.406508783e+05     1.640046682e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   142     7.689445479e+30     3.646771146e+08     1.000000000e+09     1.403938253e+05     1.641047016e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   143     7.741585936e+30     3.648994109e+08     1.000000000e+09     1.401373983e+05     1.642047349e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   144     7.793694638e+30     3.651217072e+08     1.000000000e+09     1.398815953e+05     1.643047683e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   145     7.845771626e+30     3.653440036e+08     1.000000000e+09     1.396264146e+05     1.644048016e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   146     7.897816936e+30     3.655662999e+08     1.000000000e+09     1.393718542e+05     1.645048349e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   147     7.949830608e+30     3.657885962e+08     1.000000000e+09     1.391179123e+05     1.646048683e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   148     8.001812679e+30     3.660108925e+08     1.000000000e+09     1.388645868e+05     1.647049016e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   149     8.053763189e+30     3.662331888e+08     1.000000000e+09     1.386118761e+05     1.648049350e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   150     8.105682176e+30     3.664554852e+08     1.000000000e+09     1.383597782e+05     1.649049683e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   151     8.157569677e+30     3.666777815e+08     1.000000000e+09     1.381082912e+05     1.650050017e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   152     8.209425732e+30     3.669000778e+08     1.000000000e+09     1.378574133e+05     1.651050350e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   153     8.261250377e+30     3.671223741e+08     1.000000000e+09     1.376071428e+05     1.652050684e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
