3000
     1     0.000000000e+00     0.000000000e+00     1.000000000e+09     4.774648293e+03     0.000000000e+00     1.000000000e+00     0.000000000e+00
     2     6.668889630e+27     6.934383316e+07     1.000000000e+09     4.774648293e+03     2.080314995e+08     1.000000000e+00     0.000000000e+00
     3     1.333777926e+28     8.736775508e+07     1.000000000e+09     4.774648293e+03     2.621032652e+08     1.000000000e+00     0.000000000e+00
     4     2.000666889e+28     1.000111136e+08     1.000000000e+09     4.774648293e+03     3.000333407e+08     1.000000000e+00     0.000000000e+00
     5     2.667555852e+28     1.100764737e+08     1.000000000e+09     4.774648293e+03     3.302294211e+08     1.000000000e+00     0.000000000e+00
     6     3.334444815e+28     1.185762868e+08     1.000000000e+09     4.774648293e+03     3.557288603e+08     1.000000000e+00     0.000000000e+00
     7     4.001333778e+28     1.260061072e+08     1.000000000e+09     4.774648293e+03     3.780183217e+08     1.000000000e+00     0.000000000e+00
     8     4.668222741e+28     1.326499808e+08     1.000000000e+09     4.774648293e+03     3.979499424e+08     1.000000000e+00     0.000000000e+00
     9     5.335111704e+28     1.386876663e+08     1.000000000e+09     4.774648293e+03     4.160629990e+08     1.000000000e+00     0.000000000e+00
    10     6.002000667e+28     1.442409856e+08     1.000000000e+09     4.774648293e+03     4.327229568e+08     1.000000000e+00     0.000000000e+00
    11     6.668889630e+28     1.493967597e+08     1.000000000e+09     4.774648293e+03     4.481902791e+08     1.000000000e+00     0.000000000e+00
    12     7.335778593e+28     1.542193044e+08     1.000000000e+09     4.774648293e+03     4.626579131e+08     1.000000000e+00     0.000000000e+00
    13     8.002667556e+28     1.587577469e+08     1.000000000e+09     4.774648293e+03     4.762732407e+08     1.000000000e+00     0.000000000e+00
    14     8.669556519e+28     1.630505603e+08     1.000000000e+09     4.774648293e+03     4.891516809e+08     1.000000000e+00     0.000000000e+00
    15     9.336445482e+28     1.671285031e+08     1.000000000e+09     4.774648293e+03     5.013855092e+08     1.000000000e+00     0.000000000e+00
    16     1.000333444e+29     1.710165986e+08     1.000000000e+09     4.774648293e+03     5.130497959e+08     1.000000000e+00     0.000000000e+00
    17     1.067022341e+29     1.747355102e+08     1.000000000e+09     4.774648293e+03     5.242065305e+08     1.000000000e+00     0.000000000e+00
    18     1.133711237e+29     1.783025216e+08     1.000000000e+09     4.774648293e+03     5.349075649e+08     1.000000000e+00     0.000000000e+00
    19     1.200400133e+29     1.817322540e+08     1.000000000e+09     4.774648293e+03     5.451967620e+08     1.000000000e+00     0.000000000e+00
    20     1.267089030e+29     1.850371987e+08     1.000000000e+09     4.774648293e+03     5.551115962e+08     1.000000000e+00     0.000000000e+00
    21     1.333777926e+29     1.882281223e+08     1.000000000e+09     4.774648293e+03     5.646843670e+08     1.000000000e+00     0.000000000e+00
    22     1.400466822e+29     1.913143778e+08     1.000000000e+09     4.774648293e+03     5.739431334e+08     1.000000000e+00     0.000000000e+00
    23     1.467155719e+29     1.943041479e+08     1.000000000e+09     4.774648293e+03     5.829124436e+08     1.000000000e+00     0.000000000e+00
    24     1.533844615e+29     1.972046374e+08     1.000000000e+09     4.774648293e+03     5.916139122e+08     1.000000000e+00     0.000000000e+00
    25     1.600533511e+29     2.000222272e+08     1.000000000e+09     4.774648293e+03     6.000666815e+08     1.000000000e+00     0.000000000e+00
    26     1.667222407e+29     2.027625982e+08     1.000000000e+09     4.774648293e+03     6.082877946e+08     1.000000000e+00     0.000000000e+00
    27     1.733911304e+29     2.054308331e+08     1.000000000e+09     4.774648293e+03     6.162924993e+08     1.000000000e+00     0.000000000e+00
    28     1.800600200e+29     2.080314995e+08     1.000000000e+09     4.774648293e+03     6.240944985e+08     1.000000000e+00     0.000000000e+00
    29     1.867289096e+29     2.105687190e+08     1.000000000e+09     4.774648293e+03     6.317061571e+08     1.000000000e+00     0.000000000e+00
    30     1.933977993e+29     2.130462254e+08     1.000000000e+09     4.774648293e+03     6.391386761e+08     1.000000000e+00     0.000000000e+00
    31     2.000666889e+29     2.154674125e+08     1.000000000e+09     4.774648293e+03     6.464022375e+08     1.000000000e+00     0.000000000e+00
    32     2.067355785e+29     2.178353759e+08     1.000000000e+09     4.774648293e+03     6.535061276e+08     1.000000000e+00     0.000000000e+00
    33     2.134044682e+29     2.201529474e+08     1.000000000e+09     4.774648293e+03     6.604588423e+08     1.000000000e+00     0.000000000e+00
    34     2.200733578e+29     2.224227254e+08     1.000000000e+09     4.774648293e+03     6.672681763e+08     1.000000000e+00     0.000000000e+00
    35     2.267422474e+29     2.246471003e+08     1.000000000e+09     4.774648293e+03     6.739413008e+08     1.000000000e+00     0.000000000e+00
    36     2.334111370e+29     2.268282765e+08     1.000000000e+09     4.774648293e+03     6.804848294e+08     1.000000000e+00     0.000000000e+00
    37     2.400800267e+29     2.289682923e+08     1.000000000e+09     4.774648293e+03     6.869048768e+08     1.000000000e+00     0.000000000e+00
    38     2.467489163e+29     2.310690361e+08     1.000000000e+09     4.774648293e+03     6.932071084e+08     1.000000000e+00     0.000000000e+00
    39     2.534178059e+29     2.331322617e+08     1.000000000e+09     4.774648293e+03     6.993967851e+08     1.000000000e+00     0.000000000e+00
    40     2.600866956e+29     2.351596005e+08     1.000000000e+09     4.774648293e+03     7.054788016e+08     1.000000000e+00     0.000000000e+00
    41     2.667555852e+29     2.371525735e+08     1.000000000e+09     4.774648293e+03     7.114577205e+08     1.000000000e+00     0.000000000e+00
    42     2.734244748e+29     2.391126010e+08     1.000000000e+09     4.774648293e+03     7.173378031e+08     1.000000000e+00     0.000000000e+00
