#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
     1     0.000000000e+00     5.000000000e+08     1.000000000e+09     1.836896377e+04     1.500000000e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     2     9.619570290e+27     5.001667222e+08     1.000000000e+09     1.835060093e+04     1.500500167e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     3     1.923593459e+28     5.003334445e+08     1.000000000e+09     1.833226256e+04     1.501000333e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     4     2.884909504e+28     5.005001667e+08     1.000000000e+09     1.831394861e+04     1.501500500e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     5     3.845905377e+28     5.006668890e+08     1.000000000e+09     1.829565905e+04     1.502000667e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     6     4.806581291e+28     5.008336112e+08     1.000000000e+09     1.827739383e+04     1.502500834e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     7     5.766937460e+28     5.010003334e+08     1.000000000e+09     1.825915292e+04     1.503001000e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     8     6.726974095e+28     5.011670557e+08     1.000000000e+09     1.824093627e+04     1.503501167e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     9     7.686691411e+28     5.013337779e+08     1.000000000e+09     1.822274385e+04     1.504001334e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    10     8.646089618e+28     5.015005002e+08     1.000000000e+09     1.820457561e+04     1.504501501e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    11     9.605168929e+28     5.016672224e+08     1.000000000e+09     1.818643152e+04     1.505001667e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    12     1.056392956e+29     5.018339446e+08     1.000000000e+09     1.816831153e+04     1.505501834e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    13     1.152237171e+29     5.020006669e+08     1.000000000e+09     1.815021560e+04     1.506002001e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    14     1.248049561e+29     5.021673891e+08     1.000000000e+09     1.813214370e+04     1.506502167e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    15     1.343830145e+29     5.023341114e+08     1.000000000e+09     1.811409578e+04     1.507002334e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    16     1.439578946e+29     5.025008336e+08     1.000000000e+09     1.809607181e+04     1.507502501e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    17     1.535295984e+29     5.026675559e+08     1.000000000e+09     1.807807174e+04     1.508002668e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    18     1.630981280e+29     5.028342781e+08     1.000000000e+09     1.806009553e+04     1.508502834e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    19     1.726634856e+29     5.030010003e+08     1.000000000e+09     1.804214315e+04     1.509003001e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    20     1.822256732e+29     5.031677226e+08     1.000000000e+09     1.802421456e+04     1.509503168e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    21     1.917846929e+29     5.033344448e+08     1.000000000e+09     1.800630971e+04     1.510003334e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    22     2.013405469e+29     5.035011671e+08     1.000000000e+09     1.798842857e+04     1.510503501e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    23     2.108932372e+29     5.036678893e+08     1.000000000e+09     1.797057110e+04     1.511003668e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    24     2.204427659e+29     5.038346115e+08     1.000000000e+09     1.795273725e+04     1.511503835e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    25     2.299891352e+29     5.040013338e+08     1.000000000e+09     1.793492700e+04     1.512004001e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    26     2.395323470e+29     5.041680560e+08     1.000000000e+09     1.791714030e+04     1.512504168e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    27     2.490724036e+29     5.043347783e+08     1.000000000e+09     1.789937711e+04     1.513004335e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    28     2.586093070e+29     5.045015005e+08     1.000000000e+09     1.788163739e+04     1.513504502e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    29     2.681430592e+29     5.046682227e+08     1.000000000e+09     1.786392110e+04     1.514004668e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    30     2.776736623e+29     5.048349450e+08     1.000000000e+09     1.784622822e+04     1.514504835e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    31     2.872011185e+29     5.050016672e+08     1.000000000e+09     1.782855868e+04     1.515005002e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    32     2.967254298e+29     5.051683895e+08     1.000000000e+09     1.781091247e+04     1.515505168e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    33     3.062465983e+29     5.053351117e+08     1.000000000e+09     1.779328954e+04     1.516005335e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    34     3.157646260e+29     5.055018339e+08     1.000000000e+09     1.777568985e+04     1.516505502e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    35     3.252795151e+29     5.056685562e+08     1.000000000e+09     1.775811336e+04     1.517005669e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    36     3.347912676e+29     5.058352784e+08     1.000000000e+09     1.774056003e+04     1.517505835e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    37     3.442998855e+29     5.060020007e+08     1.000000000e+09     1.772302984e+04     1.518006002e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    38     3.538053709e+29     5.061687229e+08     1.000000000e+09     1.770552273e+04     1.518506169e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    39     3.633077260e+29     5.063354451e+08     1.000000000e+09     1.768803867e+04     1.519006335e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    40     3.728069527e+29     5.065021674e+08     1.000000000e+09     1.767057763e+04     1.519506502e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    41     3.823030531e+29     5.066688896e+08     1.000000000e+09     1.765313956e+04     1.520006669e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    42     3.917960292e+29     5.068356119e+08     1.000000000e+09     1.763572443e+04     1.520506836e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    43     4.012858832e+29     5.070023341e+08     1.000000000e+09     1.761833220e+04     1.521007002e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    44     4.107726171e+29     5.071690564e+08     1.000000000e+09     1.760096283e+04     1.521507169e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    45     4.202562329e+29     5.073357786e+08     1.000000000e+09     1.758361628e+04     1.522007336e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    46     4.297367327e+29     5.075025008e+08     1.000000000e+09     1.756629252e+04     1.522507503e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    47     4.392141185e+29     5.076692231e+08     1.000000000e+09     1.754899151e+04     1.523007669e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    48     4.486883924e+29     5.078359453e+08     1.000000000e+09     1.753171322e+04     1.523507836e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    49     4.581595564e+29     5.080026676e+08     1.000000000e+09     1.751445759e+04     1.524008003e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    50     4.676276125e+29     5.081693898e+08     1.000000000e+09     1.749722461e+04     1.524508169e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    51     4.770925628e+29     5.083361120e+08     1.000000000e+09     1.748001423e+04     1.525008336e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    52     4.865544094e+29     5.085028343e+08     1.000000000e+09     1.746282641e+04     1.525508503e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    53     4.960131542e+29     5.086695565e+08     1.000000000e+09     1.744566111e+04     1.526008670e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    54     5.054687993e+29     5.088362788e+08     1.000000000e+09     1.742851831e+04     1.526508836e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    55     5.149213468e+29     5.090030010e+08     1.000000000e+09     1.741139796e+04     1.527009003e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    56     5.243707986e+29     5.091697232e+08     1.000000000e+09     1.739430002e+04     1.527509170e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    57     5.338171567e+29     5.093364455e+08     1.000000000e+09     1.737722447e+04     1.528009336e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    58     5.432604233e+29     5.095031677e+08     1.000000000e+09     1.736017126e+04     1.528509503e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    59     5.527006004e+29     5.096698900e+08     1.000000000e+09     1.734314035e+04     1.529009670e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    60     5.621376898e+29     5.098366122e+08     1.000000000e+09     1.732613172e+04     1.529509837e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    61     5.715716938e+29     5.100033344e+08     1.000000000e+09     1.730914531e+04     1.530010003e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    62     5.810026142e+29     5.101700567e+08     1.000000000e+09     1.729218111e+04     1.530510170e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    63     5.904304532e+29     5.103367789e+08     1.000000000e+09     1.727523906e+04     1.531010337e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    64     5.998552126e+29     5.105035012e+08     1.000000000e+09     1.725831914e+04     1.531510504e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    65     6.092768946e+29     5.106702234e+08     1.000000000e+09     1.724142131e+04     1.532010670e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    66     6.186955011e+29     5.108369456e+08     1.000000000e+09     1.722454553e+04     1.532510837e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    67     6.281110342e+29     5.110036679e+08     1.000000000e+09     1.720769177e+04     1.533011004e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    68     6.375234958e+29     5.111703901e+08     1.000000000e+09     1.719085999e+04     1.533511170e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    69     6.469328880e+29     5.113371124e+08     1.000000000e+09     1.717405016e+04     1.534011337e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    70     6.563392127e+29     5.115038346e+08     1.000000000e+09     1.715726223e+04     1.534511504e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    71     6.657424720e+29     5.116705569e+08     1.000000000e+09     1.714049618e+04     1.535011671e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    72     6.751426678e+29     5.118372791e+08     1.000000000e+09     1.712375196e+04     1.535511837e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    73     6.845398021e+29     5.120040013e+08     1.000000000e+09     1.710702955e+04     1.536012004e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    74     6.939338770e+29     5.121707236e+08     1.000000000e+09     1.709032890e+04     1.536512171e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    75     7.033248945e+29     5.123374458e+08     1.000000000e+09     1.707364999e+04     1.537012337e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    76     7.127128564e+29     5.125041681e+08     1.000000000e+09     1.705699277e+04     1.537512504e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    77     7.220977649e+29     5.126708903e+08     1.000000000e+09     1.704035721e+04     1.538012671e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    78     7.314796219e+29     5.128376125e+08     1.000000000e+09     1.702374328e+04     1.538512838e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    79     7.408584293e+29     5.130043348e+08     1.000000000e+09     1.700715094e+04     1.539013004e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    80     7.502341892e+29     5.131710570e+08     1.000000000e+09     1.699058015e+04     1.539513171e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    81     7.596069035e+29     5.133377793e+08     1.000000000e+09     1.697403089e+04     1.540013338e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    82     7.689765743e+29     5.135045015e+08     1.000000000e+09     1.695750311e+04     1.540513505e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    83     7.783432034e+29     5.136712237e+08     1.000000000e+09     1.694099678e+04     1.541013671e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    84     7.877067929e+29     5.138379460e+08     1.000000000e+09     1.692451187e+04     1.541513838e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    85     7.970673448e+29     5.140046682e+08     1.000000000e+09     1.690804834e+04     1.542014005e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    86     8.064248609e+29     5.141713905e+08     1.000000000e+09     1.689160615e+04     1.542514171e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    87     8.157793434e+29     5.143381127e+08     1.000000000e+09     1.687518528e+04     1.543014338e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    88     8.251307940e+29     5.145048349e+08     1.000000000e+09     1.685878568e+04     1.543514505e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    89     8.344792149e+29     5.146715572e+08     1.000000000e+09     1.684240733e+04     1.544014672e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    90     8.438246080e+29     5.148382794e+08     1.000000000e+09     1.682605018e+04     1.544514838e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    91     8.531669752e+29     5.150050017e+08     1.000000000e+09     1.680971421e+04     1.545015005e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    92     8.625063185e+29     5.151717239e+08     1.000000000e+09     1.679339938e+04     1.545515172e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    93     8.718426398e+29     5.153384461e+08     1.000000000e+09     1.677710566e+04     1.546015338e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    94     8.811759411e+29     5.155051684e+08     1.000000000e+09     1.676083301e+04     1.546515505e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    95     8.905062244e+29     5.156718906e+08     1.000000000e+09     1.674458139e+04     1.547015672e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    96     8.998334916e+29     5.158386129e+08     1.000000000e+09     1.672835078e+04     1.547515839e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    97     9.091577447e+29     5.160053351e+08     1.000000000e+09     1.671214114e+04     1.548016005e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    98     9.184789855e+29     5.161720574e+08     1.000000000e+09     1.669595244e+04     1.548516172e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    99     9.277972161e+29     5.163387796e+08     1.000000000e+09     1.667978463e+04     1.549016339e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   100     9.371124384e+29     5.165055018e+08     1.000000000e+09     1.666363770e+04     1.549516506e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   101     9.464246543e+29     5.166722241e+08     1.000000000e+09     1.664751160e+04     1.550016672e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
