#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
     1     0.000000000e+00     2.500000000e+08     1.000000000e+09     8.141234351e+04     1.500000000e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     2     1.598261383e+28     2.502500834e+08     1.000000000e+09     8.116851302e+04     1.501500500e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     3     3.194926367e+28     2.505001667e+08     1.000000000e+09     8.092565527e+04     1.503001000e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     4     4.789998137e+28     2.507502501e+08     1.000000000e+09     8.068376539e+04     1.504501501e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     5     6.383479871e+28     2.510003334e+08     1.000000000e+09     8.044283858e+04     1.506002001e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     6     7.975374734e+28     2.512504168e+08     1.000000000e+09     8.020287004e+04     1.507502501e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     7     9.565685885e+28     2.515005002e+08     1.000000000e+09     7.996385503e+04     1.509003001e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     8     1.115441647e+29     2.517505835e+08     1.000000000e+09     7.972578879e+04     1.510503501e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     9     1.274156963e+29     2.520006669e+08     1.000000000e+09     7.948866664e+04     1.512004001e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    10     1.432714850e+29     2.522507503e+08     1.000000000e+09     7.925248390e+04     1.513504502e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    11     1.591115618e+29     2.525008336e+08     1.000000000e+09     7.901723591e+04     1.515005002e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    12     1.749359580e+29     2.527509170e+08     1.000000000e+09     7.878291807e+04     1.516505502e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    13     1.907447046e+29     2.530010003e+08     1.000000000e+09     7.854952577e+04     1.518006002e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    14     2.065378324e+29     2.532510837e+08     1.000000000e+09     7.831705445e+04     1.519506502e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    15     2.223153724e+29     2.535011671e+08     1.000000000e+09     7.808549958e+04     1.521007002e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    16     2.380773552e+29     2.537512504e+08     1.000000000e+09     7.785485664e+04     1.522507503e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    17     2.538238115e+29     2.540013338e+08     1.000000000e+09     7.762512115e+04     1.524008003e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    18     2.695547719e+29     2.542514171e+08     1.000000000e+09     7.739628864e+04     1.525508503e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    19     2.852702668e+29     2.545015005e+08     1.000000000e+09     7.716835469e+04     1.527009003e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    20     3.009703266e+29     2.547515839e+08     1.000000000e+09     7.694131489e+04     1.528509503e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    21     3.166549816e+29     2.550016672e+08     1.000000000e+09     7.671516486e+04     1.530010003e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    22     3.323242620e+29     2.552517506e+08     1.000000000e+09     7.648990025e+04     1.531510504e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    23     3.479781979e+29     2.555018339e+08     1.000000000e+09     7.626551672e+04     1.533011004e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    24     3.636168193e+29     2.557519173e+08     1.000000000e+09     7.604200998e+04     1.534511504e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    25     3.792401562e+29     2.560020007e+08     1.000000000e+09     7.581937574e+04     1.536012004e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    26     3.948482384e+29     2.562520840e+08     1.000000000e+09     7.559760975e+04     1.537512504e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    27     4.104410957e+29     2.565021674e+08     1.000000000e+09     7.537670778e+04     1.539013004e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    28     4.260187577e+29     2.567522508e+08     1.000000000e+09     7.515666563e+04     1.540513505e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    29     4.415812541e+29     2.570023341e+08     1.000000000e+09     7.493747912e+04     1.542014005e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    30     4.571286143e+29     2.572524175e+08     1.000000000e+09     7.471914410e+04     1.543514505e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    31     4.726608678e+29     2.575025008e+08     1.000000000e+09     7.450165643e+04     1.545015005e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    32     4.881780438e+29     2.577525842e+08     1.000000000e+09     7.428501201e+04     1.546515505e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    33     5.036801717e+29     2.580026676e+08     1.000000000e+09     7.406920675e+04     1.548016005e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    34     5.191672806e+29     2.582527509e+08     1.000000000e+09     7.385423660e+04     1.549516506e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    35     5.346393995e+29     2.585028343e+08     1.000000000e+09     7.364009751e+04     1.551017006e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    36     5.500965574e+29     2.587529176e+08     1.000000000e+09     7.342678549e+04     1.552517506e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    37     5.655387833e+29     2.590030010e+08     1.000000000e+09     7.321429653e+04     1.554018006e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    38     5.809661060e+29     2.592530844e+08     1.000000000e+09     7.300262668e+04     1.555518506e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    39     5.963785542e+29     2.595031677e+08     1.000000000e+09     7.279177198e+04     1.557019006e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    40     6.117761565e+29     2.597532511e+08     1.000000000e+09     7.258172852e+04     1.558519507e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    41     6.271589416e+29     2.600033344e+08     1.000000000e+09     7.237249241e+04     1.560020007e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    42     6.425269379e+29     2.602534178e+08     1.000000000e+09     7.216405976e+04     1.561520507e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    43     6.578801739e+29     2.605035012e+08     1.000000000e+09     7.195642672e+04     1.563021007e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    44     6.732186778e+29     2.607535845e+08     1.000000000e+09     7.174958947e+04     1.564521507e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    45     6.885424779e+29     2.610036679e+08     1.000000000e+09     7.154354418e+04     1.566022007e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    46     7.038516024e+29     2.612537513e+08     1.000000000e+09     7.133828709e+04     1.567522508e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    47     7.191460793e+29     2.615038346e+08     1.000000000e+09     7.113381442e+04     1.569023008e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    48     7.344259367e+29     2.617539180e+08     1.000000000e+09     7.093012242e+04     1.570523508e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    49     7.496912025e+29     2.620040013e+08     1.000000000e+09     7.072720738e+04     1.572024008e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    50     7.649419045e+29     2.622540847e+08     1.000000000e+09     7.052506560e+04     1.573524508e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    51     7.801780705e+29     2.625041681e+08     1.000000000e+09     7.032369339e+04     1.575025008e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    52     7.953997281e+29     2.627542514e+08     1.000000000e+09     7.012308709e+04     1.576525509e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    53     8.106069051e+29     2.630043348e+08     1.000000000e+09     6.992324308e+04     1.578026009e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    54     8.257996288e+29     2.632544181e+08     1.000000000e+09     6.972415772e+04     1.579526509e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    55     8.409779267e+29     2.635045015e+08     1.000000000e+09     6.952582743e+04     1.581027009e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    56     8.561418263e+29     2.637545849e+08     1.000000000e+09     6.932824863e+04     1.582527509e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    57     8.712913548e+29     2.640046682e+08     1.000000000e+09     6.913141775e+04     1.584028009e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    58     8.864265394e+29     2.642547516e+08     1.000000000e+09     6.893533128e+04     1.585528510e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    59     9.015474072e+29     2.645048349e+08     1.000000000e+09     6.873998568e+04     1.587029010e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    60     9.166539854e+29     2.647549183e+08     1.000000000e+09     6.854537747e+04     1.588529510e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    61     9.317463008e+29     2.650050017e+08     1.000000000e+09     6.835150317e+04     1.590030010e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    62     9.468243805e+29     2.652550850e+08     1.000000000e+09     6.815835932e+04     1.591530510e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
