#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
    37     5.104071925e+29     2.590030010e+08     1.000000000e+09     6.607699533e+04     1.554018006e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    38     5.243305815e+29     2.592530844e+08     1.000000000e+09     6.588596013e+04     1.555518506e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    39     5.382405460e+29     2.595031677e+08     1.000000000e+09     6.569566062e+04     1.557019006e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    40     5.521371119e+29     2.597532511e+08     1.000000000e+09     6.550609326e+04     1.558519507e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    41     5.660203051e+29     2.600033344e+08     1.000000000e+09     6.531725455e+04     1.560020007e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    42     5.798901511e+29     2.602534178e+08     1.000000000e+09     6.512914097e+04     1.561520507e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    43     5.937466757e+29     2.605035012e+08     1.000000000e+09     6.494174905e+04     1.563021007e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    44     6.075899044e+29     2.607535845e+08     1.000000000e+09     6.475507535e+04     1.564521507e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    45     6.214198627e+29     2.610036679e+08     1.000000000e+09     6.456911640e+04     1.566022007e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    46     6.352365760e+29     2.612537513e+08     1.000000000e+09     6.438386881e+04     1.567522508e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    47     6.490400697e+29     2.615038346e+08     1.000000000e+09     6.419932917e+04     1.569023008e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    48     6.628303691e+29     2.617539180e+08     1.000000000e+09     6.401549411e+04     1.570523508e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    49     6.766074993e+29     2.620040013e+08     1.000000000e+09     6.383236026e+04     1.572024008e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    50     6.903714855e+29     2.622540847e+08     1.000000000e+09     6.364992428e+04     1.573524508e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    51     7.041223527e+29     2.625041681e+08     1.000000000e+09     6.346818285e+04     1.575025008e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    52     7.178601259e+29     2.627542514e+08     1.000000000e+09     6.328713268e+04     1.576525509e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    53     7.315848300e+29     2.630043348e+08     1.000000000e+09     6.310677047e+04     1.578026009e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    54     7.452964899e+29     2.632544181e+08     1.000000000e+09     6.292709297e+04     1.579526509e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    55     7.589951304e+29     2.635045015e+08     1.000000000e+09     6.274809692e+04     1.581027009e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    56     7.726807760e+29     2.637545849e+08     1.000000000e+09     6.256977910e+04     1.582527509e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    57     7.863534516e+29     2.640046682e+08     1.000000000e+09     6.239213630e+04     1.584028009e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    58     8.000131816e+29     2.642547516e+08     1.000000000e+09     6.221516533e+04     1.585528510e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    59     8.136599905e+29     2.645048349e+08     1.000000000e+09     6.203886301e+04     1.587029010e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    60     8.272939027e+29     2.647549183e+08     1.000000000e+09     6.186322620e+04     1.588529510e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    61     8.409149427e+29     2.650050017e+08     1.000000000e+09     6.168825175e+04     1.590030010e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    62     8.545231346e+29     2.652550850e+08     1.000000000e+09     6.151393654e+04     1.591530510e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    63     8.681185027e+29     2.655051684e+08     1.000000000e+09     6.134027747e+04     1.593031010e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    64     8.817010712e+29     2.657552518e+08     1.000000000e+09     6.116727146e+04     1.594531511e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    65     8.952708641e+29     2.660053351e+08     1.000000000e+09     6.099491545e+04     1.596032011e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    66     9.088279054e+29     2.662554185e+08     1.000000000e+09     6.082320637e+04     1.597532511e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    67     9.223722191e+29     2.665055018e+08     1.000000000e+09     6.065214120e+04     1.599033011e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    68     9.359038291e+29     2.667555852e+08     1.000000000e+09     6.048171693e+04     1.600533511e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    69     9.494227591e+29     2.670056686e+08     1.000000000e+09     6.031193055e+04     1.602034011e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    70     9.629290329e+29     2.672557519e+08     1.000000000e+09     6.014277908e+04     1.603534512e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    71     9.764226741e+29     2.675058353e+08     1.000000000e+09     5.997425956e+04     1.605035012e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    72     9.899037065e+29     2.677559186e+08     1.000000000e+09     5.980636904e+04     1.606535512e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    73     1.003372153e+30     2.680060020e+08     1.000000000e+09     5.963910459e+04     1.608036012e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    74     1.016828039e+30     2.682560854e+08     1.000000000e+09     5.947246329e+04     1.609536512e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    75     1.030271385e+30     2.685061687e+08     1.000000000e+09     5.930644224e+04     1.611037012e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    76     1.043702217e+30     2.687562521e+08     1.000000000e+09     5.914103856e+04     1.612537513e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    77     1.057120556e+30     2.690063354e+08     1.000000000e+09     5.897624938e+04     1.614038013e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    78     1.070526427e+30     2.692564188e+08     1.000000000e+09     5.881207186e+04     1.615538513e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    79     1.083919853e+30     2.695065022e+08     1.000000000e+09     5.864850315e+04     1.617039013e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    80     1.097300856e+30     2.697565855e+08     1.000000000e+09     5.848554044e+04     1.618539513e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    81     1.110669459e+30     2.700066689e+08     1.000000000e+09     5.832318092e+04     1.620040013e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    82     1.124025686e+30     2.702567523e+08     1.000000000e+09     5.816142180e+04     1.621540514e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    83     1.137369560e+30     2.705068356e+08     1.000000000e+09     5.800026032e+04     1.623041014e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    84     1.150701103e+30     2.707569190e+08     1.000000000e+09     5.783969371e+04     1.624541514e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    85     1.164020338e+30     2.710070023e+08     1.000000000e+09     5.767971923e+04     1.626042014e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    86     1.177327288e+30     2.712570857e+08     1.000000000e+09     5.752033416e+04     1.627542514e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    87     1.190621975e+30     2.715071691e+08     1.000000000e+09     5.736153578e+04     1.629043014e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
