#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
    42     6.576392720e+29     2.602534178e+08     1.000000000e+09     7.386136973e+04     1.561520507e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    43     6.733536184e+29     2.605035012e+08     1.000000000e+09     7.364885313e+04     1.563021007e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    44     6.890528863e+29     2.607535845e+08     1.000000000e+09     7.343715103e+04     1.564521507e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    45     7.047371046e+29     2.610036679e+08     1.000000000e+09     7.322625953e+04     1.566022007e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    46     7.204063021e+29     2.612537513e+08     1.000000000e+09     7.301617476e+04     1.567522508e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    47     7.360605076e+29     2.615038346e+08     1.000000000e+09     7.280689286e+04     1.569023008e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    48     7.516997496e+29     2.617539180e+08     1.000000000e+09     7.259840999e+04     1.570523508e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    49     7.673240568e+29     2.620040013e+08     1.000000000e+09     7.239072236e+04     1.572024008e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    50     7.829334577e+29     2.622540847e+08     1.000000000e+09     7.218382617e+04     1.573524508e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    51     7.985279807e+29     2.625041681e+08     1.000000000e+09     7.197771765e+04     1.575025008e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    52     8.141076541e+29     2.627542514e+08     1.000000000e+09     7.177239307e+04     1.576525509e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    53     8.296725062e+29     2.630043348e+08     1.000000000e+09     7.156784869e+04     1.578026009e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    54     8.452225652e+29     2.632544181e+08     1.000000000e+09     7.136408081e+04     1.579526509e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    55     8.607578591e+29     2.635045015e+08     1.000000000e+09     7.116108576e+04     1.581027009e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    56     8.762784159e+29     2.637545849e+08     1.000000000e+09     7.095885987e+04     1.582527509e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    57     8.917842637e+29     2.640046682e+08     1.000000000e+09     7.075739951e+04     1.584028009e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    58     9.072754302e+29     2.642547516e+08     1.000000000e+09     7.055670105e+04     1.585528510e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    59     9.227519432e+29     2.645048349e+08     1.000000000e+09     7.035676089e+04     1.587029010e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    60     9.382138305e+29     2.647549183e+08     1.000000000e+09     7.015757547e+04     1.588529510e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    61     9.536611195e+29     2.650050017e+08     1.000000000e+09     6.995914121e+04     1.590030010e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    62     9.690938380e+29     2.652550850e+08     1.000000000e+09     6.976145459e+04     1.591530510e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    63     9.845120133e+29     2.655051684e+08     1.000000000e+09     6.956451208e+04     1.593031010e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    64     9.999156728e+29     2.657552518e+08     1.000000000e+09     6.936831018e+04     1.594531511e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    65     1.015304844e+30     2.660053351e+08     1.000000000e+09     6.917284543e+04     1.596032011e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    66     1.030679554e+30     2.662554185e+08     1.000000000e+09     6.897811436e+04     1.597532511e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    67     1.046039829e+30     2.665055018e+08     1.000000000e+09     6.878411352e+04     1.599033011e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
