http://svo2.cab.inta-csic.es/svo/theory/fps/index.php?mode=browse&gname=SLOAN&asttype=
Gemini_GMOS-N.u  Gemini_GMOS-N.g  Gemini_GMOS-N.r  Gemini_GMOS-N.i  Gemini_GMOS-N.z
min(wavelength)/cm and max(wavelength)/cm:
  3.050000000e-05  3.900000000e-05  5.500000000e-05  6.850000000e-05  8.200000000e-05
  4.130000000e-05  5.600000000e-05  7.200000000e-05  8.650000000e-05  1.100000000e-04
(wavelength and transmission)*5 bands:
109
  3.050000000e-05  4.000000000e-03  3.900000000e-05  2.500000000e-02  5.500000000e-05  4.000000000e-02  6.850000000e-05  5.000000000e-03  8.200000000e-05  5.000000000e-03
  3.060000000e-05  6.000000000e-03  3.950000000e-05  2.600000000e-01  5.550000000e-05  2.100000000e-01  6.900000000e-05  3.000000000e-02  8.250000000e-05  1.000000000e-02
  3.070000000e-05  9.000000000e-03  4.000000000e-05  7.150000000e-01  5.600000000e-05  4.150000000e-01  6.950000000e-05  1.200000000e-01  8.300000000e-05  1.500000000e-02
  3.080000000e-05  1.300000000e-02  4.050000000e-05  7.450000000e-01  5.650000000e-05  5.750000000e-01  7.000000000e-05  2.650000000e-01  8.350000000e-05  3.500000000e-02
  3.090000000e-05  1.900000000e-02  4.100000000e-05  7.550000000e-01  5.700000000e-05  7.350000000e-01  7.050000000e-05  4.500000000e-01  8.400000000e-05  2.150000000e-01
  3.100000000e-05  2.600000000e-02  4.150000000e-05  8.000000000e-01  5.750000000e-05  8.250000000e-01  7.100000000e-05  6.150000000e-01  8.450000000e-05  4.100000000e-01
  3.110000000e-05  3.500000000e-02  4.200000000e-05  8.100000000e-01  5.800000000e-05  8.650000000e-01  7.150000000e-05  7.350000000e-01  8.500000000e-05  7.600000000e-01
  3.120000000e-05  4.500000000e-02  4.250000000e-05  8.200000000e-01  5.850000000e-05  8.800000000e-01  7.200000000e-05  8.250000000e-01  8.550000000e-05  9.500000000e-01
  3.130000000e-05  5.700000000e-02  4.300000000e-05  8.100000000e-01  5.900000000e-05  8.950000000e-01  7.250000000e-05  8.700000000e-01  8.600000000e-05  9.800000000e-01
  3.140000000e-05  7.100000000e-02  4.350000000e-05  8.350000000e-01  5.950000000e-05  8.850000000e-01  7.300000000e-05  9.100000000e-01  8.650000000e-05  9.650000000e-01
  3.150000000e-05  8.600000000e-02  4.400000000e-05  8.550000000e-01  6.000000000e-05  8.800000000e-01  7.350000000e-05  9.300000000e-01  8.700000000e-05  9.550000000e-01
  3.160000000e-05  1.030000000e-01  4.450000000e-05  8.100000000e-01  6.050000000e-05  8.900000000e-01  7.400000000e-05  9.400000000e-01  8.750000000e-05  9.600000000e-01
  3.170000000e-05  1.210000000e-01  4.500000000e-05  8.100000000e-01  6.100000000e-05  9.150000000e-01  7.450000000e-05  9.550000000e-01  8.800000000e-05  9.650000000e-01
  3.180000000e-05  1.400000000e-01  4.550000000e-05  8.300000000e-01  6.150000000e-05  9.200000000e-01  7.500000000e-05  9.600000000e-01  8.850000000e-05  9.700000000e-01
  3.190000000e-05  1.600000000e-01  4.600000000e-05  8.300000000e-01  6.200000000e-05  8.850000000e-01  7.550000000e-05  9.650000000e-01  8.900000000e-05  9.700000000e-01
  3.200000000e-05  1.810000000e-01  4.650000000e-05  8.400000000e-01  6.250000000e-05  8.900000000e-01  7.600000000e-05  9.700000000e-01  8.950000000e-05  9.700000000e-01
  3.210000000e-05  2.030000000e-01  4.700000000e-05  8.600000000e-01  6.300000000e-05  9.300000000e-01  7.650000000e-05  9.700000000e-01  9.000000000e-05  9.700000000e-01
  3.220000000e-05  2.250000000e-01  4.750000000e-05  8.650000000e-01  6.350000000e-05  9.300000000e-01  7.700000000e-05  9.700000000e-01  9.100000000e-05  9.700000000e-01
  3.230000000e-05  2.470000000e-01  4.800000000e-05  8.700000000e-01  6.400000000e-05  9.350000000e-01  7.750000000e-05  9.700000000e-01  9.200000000e-05  9.700000000e-01
  3.240000000e-05  2.690000000e-01  4.850000000e-05  8.800000000e-01  6.450000000e-05  9.250000000e-01  7.800000000e-05  9.700000000e-01  9.300000000e-05  9.750000000e-01
  3.250000000e-05  2.910000000e-01  4.900000000e-05  8.750000000e-01  6.500000000e-05  9.200000000e-01  7.850000000e-05  9.700000000e-01  9.400000000e-05  9.750000000e-01
  3.260000000e-05  3.130000000e-01  4.950000000e-05  8.800000000e-01  6.550000000e-05  9.250000000e-01  7.900000000e-05  9.650000000e-01  9.500000000e-05  9.750000000e-01
  3.270000000e-05  3.350000000e-01  5.000000000e-05  9.000000000e-01  6.600000000e-05  9.300000000e-01  7.950000000e-05  9.650000000e-01  9.600000000e-05  9.700000000e-01
  3.280000000e-05  3.560000000e-01  5.050000000e-05  9.050000000e-01  6.650000000e-05  9.200000000e-01  8.000000000e-05  9.700000000e-01  9.700000000e-05  9.650000000e-01
  3.290000000e-05  3.770000000e-01  5.100000000e-05  8.800000000e-01  6.700000000e-05  9.000000000e-01  8.050000000e-05  9.750000000e-01  9.800000000e-05  9.600000000e-01
  3.300000000e-05  3.970000000e-01  5.150000000e-05  8.800000000e-01  6.750000000e-05  8.700000000e-01  8.100000000e-05  9.750000000e-01  9.900000000e-05  9.650000000e-01
  3.310000000e-05  4.170000000e-01  5.200000000e-05  8.900000000e-01  6.800000000e-05  8.450000000e-01  8.150000000e-05  9.750000000e-01  1.000000000e-04  9.700000000e-01
